dt,T_true,n_anchor,phi_med,cos_phi_mean,c_A,bias_A,c_B,bias_B,c_C,bias_C
1.5,0.0,200,30.53218430248254,0.7414213363585576,0.03947784216142267,0.03947784216142267,0.025280719063700344,0.025280719063700344,0.03180746042193396,0.03180746042193396
1.5,1.0,200,37.91470672730135,0.7034922372155257,0.698018278629271,-0.301981721370729,0.9403449400949057,-0.05965505990509434,0.9365749351067281,-0.06342506489327193
1.5,5.0,200,37.22648390305652,0.689393740511477,3.5629783840318074,-1.4370216159681926,4.979010390021221,-0.020989609978778745,4.962948765301348,-0.03705123469865157
1.5,20.0,200,33.504032658917914,0.72047796629639,16.083188274870675,-3.9168117251293246,19.897707494749707,-0.10229250525029343,19.916819528674328,-0.0831804713256723
2.5,0.0,200,10.080116925637626,0.9437773995215104,0.023528566397571043,0.023528566397571043,0.013172860523877877,0.013172860523877877,0.006720589363724146,0.006720589363724146
2.5,1.0,200,10.388109407872587,0.9464193433177758,0.9881333724969007,-0.011866627503099303,0.987399010503889,-0.012600989496110993,0.9904249256408111,-0.009575074359188918
2.5,5.0,200,8.295063041207243,0.9615970220795862,4.86218899658053,-0.13781100341947017,4.975106484342425,-0.024893515657574916,5.001755741451124,0.0017557414511237823
2.5,20.0,200,8.01613080406639,0.9541608600309491,19.520096708075798,-0.47990329192420234,20.049366011803933,0.04936601180393296,20.007635907754604,0.007635907754604432
5.0,0.0,200,2.6278513579422498,0.9977655172160577,0.006743048311668035,0.006743048311668035,0.007734060430865891,0.007734060430865891,0.00109273612085437,0.00109273612085437
5.0,1.0,200,2.7888803051132394,0.9975050959075221,1.0064015544490772,0.006401554449077196,1.0057565464219511,0.005756546421951114,0.9995263548883453,-0.000473645111654708
5.0,5.0,200,2.6821141066054186,0.9978804083588667,4.981763230986896,-0.018236769013103782,4.986486839087813,-0.013513160912187239,5.00043753619269,0.00043753619269004673
5.0,20.0,200,2.690976447895119,0.9977122596583722,19.934640693482585,-0.06535930651741495,19.98971724707038,-0.010282752929619221,19.997923155269927,-0.0020768447300731907
