V,theta,strategy,model,anchor,flag,p_min,dvec_norm,dvec_cos
3,0,pc1,honest,0.5132203389830509,False,0.9102,,
3,0,pc1,honest,0.5152542372881357,False,0.9028,,
3,0,pc1,honest,0.5172881355932204,False,0.9416,,
3,0,pc1,honest,0.5193220338983051,False,0.5918,,
3,0,pc1,honest,0.5213559322033898,False,0.967,,
3,0,pc1,honest,0.5233898305084747,False,0.953,,
3,0,pc1,honest,0.5254237288135594,False,0.4162,,
3,0,pc1,honest,0.5274576271186441,False,0.9128,,
3,0,pc1,honest,0.5294915254237289,False,0.9226,,
3,0,pc1,honest,0.5315254237288136,False,0.7,,
3,0,pc1,honest,0.5335593220338983,False,0.8844,,
3,0,pc1,honest,0.535593220338983,False,0.928,,
3,0,pc1,honest,0.5376271186440679,False,0.9514,,
3,0,pc1,honest,0.5396610169491526,False,0.8028,,
3,0,pc1,honest,0.5416949152542373,False,0.9902,,
3,0,pc1,honest,0.5437288135593221,False,0.936,,
3,0,pc1,honest,0.5457627118644068,False,0.8604,,
3,0,pc1,honest,0.5477966101694915,False,0.9226,,
3,0,pc1,honest,0.5498305084745763,False,0.828,,
3,0,pc1,honest,0.5518644067796611,False,0.633,,
3,0,pc1,honest,0.5538983050847458,False,0.6624,,
3,0,pc1,honest,0.5559322033898305,False,0.8706,,
3,0,pc1,honest,0.5579661016949153,False,0.9956,,
3,0,pc1,honest,0.56,False,0.812,,
3,0,pc2_bonf,gated,0.44,False,0.724,,
3,0,pc2_bonf,gated,0.4420338983050847,False,0.8426,,
3,0,pc2_bonf,gated,0.4440677966101695,False,0.8766,,
3,0,pc2_bonf,gated,0.4461016949152542,False,0.5708,,
3,0,pc2_bonf,gated,0.4481355932203389,False,0.4098,,
3,0,pc2_bonf,gated,0.4501694915254237,False,0.8448,,
3,0,pc2_bonf,gated,0.4522033898305085,False,0.9198,,
3,0,pc2_bonf,gated,0.4542372881355932,False,0.5402,,
3,0,pc2_bonf,gated,0.456271186440678,False,0.5406,,
3,0,pc2_bonf,gated,0.4583050847457627,False,0.68,,
3,0,pc2_bonf,gated,0.4603389830508475,False,0.5482,,
3,0,pc2_bonf,gated,0.4623728813559322,False,0.7128,,
3,0,pc2_bonf,gated,0.4644067796610169,False,0.6794,,
3,0,pc2_bonf,gated,0.4664406779661017,False,0.8952,,
3,0,pc2_bonf,gated,0.4684745762711864,False,0.9324,,
3,0,pc2_bonf,gated,0.4705084745762712,False,0.9454,,
3,0,pc2_bonf,gated,0.4725423728813559,False,0.385,,
3,0,pc2_bonf,gated,0.4745762711864407,False,0.4506,,
3,0,pc2_bonf,gated,0.4766101694915254,False,0.5368,,
3,0,pc2_bonf,gated,0.4786440677966102,False,0.8852,,
3,0,pc2_bonf,gated,0.4806779661016949,False,0.3916,,
3,0,pc2_bonf,gated,0.4827118644067797,False,0.2758,,
3,0,pc2_bonf,gated,0.4847457627118644,False,0.5306,,
3,0,pc2_bonf,gated,0.4867796610169492,False,0.6654,,
3,0,pc2_bonf,gated,0.4888135593220339,False,0.7252,,
3,0,pc2_bonf,gated,0.4908474576271187,False,0.5936,,
3,0,pc2_bonf,gated,0.4928813559322034,False,0.3334,,
3,0,pc2_bonf,gated,0.4949152542372881,False,0.6534,,
3,0,pc2_bonf,gated,0.4969491525423729,False,0.5182,,
3,0,pc2_bonf,gated,0.4989830508474576,False,0.311,,
3,0,pc2_bonf,gated,0.5010169491525424,False,0.5482,,
3,0,pc2_bonf,gated,0.5030508474576272,False,0.1356,,
3,0,pc2_bonf,gated,0.5050847457627119,False,0.4086,,
3,0,pc2_bonf,gated,0.5071186440677966,False,0.7848,,
3,0,pc2_bonf,gated,0.5091525423728814,False,0.1704,,
3,0,pc2_bonf,gated,0.5111864406779661,False,0.3446,,
3,0,pc2_bonf,gated,0.5132203389830509,False,0.791,,
3,0,pc2_bonf,gated,0.5152542372881357,False,0.3012,,
3,0,pc2_bonf,gated,0.5172881355932204,False,0.3924,,
3,0,pc2_bonf,gated,0.5193220338983051,False,0.7164,,
3,0,pc2_bonf,gated,0.5213559322033898,False,0.8024,,
3,0,pc2_bonf,gated,0.5233898305084747,False,0.6096,,
3,0,pc2_bonf,gated,0.5254237288135594,False,0.6472,,
3,0,pc2_bonf,gated,0.5274576271186441,False,0.832,,
3,0,pc2_bonf,gated,0.5294915254237289,False,0.752,,
3,0,pc2_bonf,gated,0.5315254237288136,False,0.7026,,
3,0,pc2_bonf,gated,0.5335593220338983,False,0.7928,,
3,0,pc2_bonf,gated,0.535593220338983,False,0.477,,
3,0,pc2_bonf,gated,0.5376271186440679,False,0.7794,,
3,0,pc2_bonf,gated,0.5396610169491526,False,0.8834,,
3,0,pc2_bonf,gated,0.5416949152542373,False,0.6294,,
3,0,pc2_bonf,gated,0.5437288135593221,False,0.8786,,
3,0,pc2_bonf,gated,0.5457627118644068,False,0.7758,,
3,0,pc2_bonf,gated,0.5477966101694915,False,0.953,,
3,0,pc2_bonf,gated,0.5498305084745763,False,0.5078,,
3,0,pc2_bonf,gated,0.5518644067796611,False,0.489,,
3,0,pc2_bonf,gated,0.5538983050847458,False,0.9738,,
3,0,pc2_bonf,gated,0.5559322033898305,False,0.9592,,
3,0,pc2_bonf,gated,0.5579661016949153,False,0.7588,,
3,0,pc2_bonf,gated,0.56,False,0.9574,,
3,0,pc2_bonf,honest,0.44,False,0.692,,
