dt_ratio,N,power,orient_err,offset_err
1.5,5,0.18,25.78604125146383,0.21111585267945
1.5,8,0.14,21.72144163309809,0.18992637666713907
1.5,12,0.31,16.989639977216505,0.14895602225864535
1.5,18,0.48,14.220300009731215,0.14641934863716388
1.5,25,0.6766666666666666,12.720026393145243,0.1164357233108615
1.5,35,0.8333333333333334,9.289516116512473,0.1163635512541965
1.5,50,0.9466666666666667,8.02649079407135,0.11520813029349253
1.5,70,1.0,6.092942465035912,0.11200955707578
1.5,100,1.0,5.825775587464996,0.10512651535033804
2.5,5,0.7666666666666667,4.736623625140657,0.11433763658394383
2.5,8,0.9733333333333334,3.8712538456528423,0.08629432097472892
2.5,12,0.9966666666666667,3.445384985071545,0.075205697743214
2.5,18,1.0,2.724299784034031,0.058940731788434765
2.5,25,1.0,2.3568237910169163,0.0451645651401337
2.5,35,1.0,1.7290271162497532,0.03818668715365445
2.5,50,1.0,1.305994224130144,0.03639380265739185
2.5,70,1.0,1.1351281779092797,0.03269474387083883
2.5,100,1.0,0.9486539301863115,0.030400390835546597
5.0,5,1.0,1.1666597633859739,0.03888055779788549
5.0,8,1.0,0.854564477464042,0.0336129840103756
5.0,12,1.0,0.6700253939538701,0.029410318387769523
5.0,18,1.0,0.5983212930847364,0.02352920742854357
5.0,25,1.0,0.47300986178470106,0.019782197332732215
5.0,35,1.0,0.43364026233525466,0.01721457232814494
5.0,50,1.0,0.3426720107859077,0.01272370198321501
5.0,70,1.0,0.2796285839800797,0.013116157869838932
5.0,100,1.0,0.2399068696108066,0.009714787567622226
