surface,comb_score,best_lag,dir_coherence,C_fires
gate dt=2.5,1.2172616560616447,0.39597979746446665,0.9118941559108698,1.0
gate dt=5.0,0.6477594250356484,0.36769552621700474,0.9917498194622266,1.0
honest,2.1876752492213654,0.4525483399593905,0.19905122685323967,0.015
resonant ell=0.3,1.985403884280478,0.36769552621700474,0.11321519502889077,0.0
resonant ell=0.5,1.9309056936206703,0.36769552621700474,0.10878480027844817,0.01
resonant ell=0.8,1.9848001605119414,0.39597979746446665,0.8790726116954408,1.0
