condition,rep,arm,B,lrt_med,lrt_q90,lrt_q95,lrt_q99,dip_med,dip_q95,resid_kurt,inlier_kurt
rung_1.0,0,emp_inlier,3000,67.79449005689321,85.7148766258675,91.64666651674838,102.53498910302605,0.012672658612290796,0.017485726205128713,3.0368729454085956,2.006271018186076
rung_1.0,0,emp_all,3000,0.8367562309417735,3.9743189761139086,5.499258153629842,8.305927837708047,0.01012192158255451,0.01426163780642929,2.9331967885537504,1.9516985468857602
rung_1.0,0,param,6000,0.7279273422659571,4.107268856773726,5.593386716899841,8.852702653966428,0.008696081014025143,0.011900522883347581,2.790129899348809,2.0179923907090824
rung_1.0,1,emp_inlier,3000,51.183552334734486,67.02402148933461,71.79383164265654,83.64923156782358,0.011576709173049048,0.015947482285391647,3.3994522077926432,2.0304677044141104
rung_1.0,1,param,6000,0.6614049623999563,3.9834536655121617,5.4758327273405945,8.518388336453404,0.008695696867199284,0.011944094206303192,3.103831990630887,2.0260859405432634
rung_1.0,1,emp_all,3000,1.0803089159837782,4.412037643641541,5.798560566887704,9.577083239206585,0.01166288525718377,0.016490774299320513,2.9381375888234045,1.9751355222371905
rung_1.0,2,emp_inlier,3000,65.4176897651796,84.17056866280564,89.01487161399804,98.08647720676568,0.01189641709103087,0.01692025094579945,3.3152970081073745,1.9915855489078655
rung_1.0,2,param,6000,0.6312130347778293,3.7581631889779605,5.116412071921924,8.702344465111292,0.008692950261578956,0.012049190402559765,3.2326640760603116,2.1616895240492595
rung_1.0,2,emp_all,3000,0.984725249129724,4.827663660064399,6.541924970011944,10.134715104971969,0.010748339015351157,0.015082625242720533,2.9866201509186836,1.9610105785524046
rung_0.5,0,emp_inlier,3000,74.57404243903511,94.25211590376747,100.48956883517025,109.66938468648813,0.011828089600211356,0.01629520902287935,2.7461149686476243,1.9459322745219305
rung_0.5,0,emp_all,3000,1.7283974251104155,13.391995016394638,17.613162072755447,26.71491085446451,0.010106926371846275,0.014029178495521965,3.345757214378609,2.0657258330035315
rung_0.5,0,param,6000,0.6578549127407314,3.886969987239492,5.383616693668477,8.824773319650726,0.008668054408236063,0.011953500158066472,2.8562739861301742,2.0219410544826286
rung_0.5,1,emp_inlier,3000,82.04321493861471,101.67699588654678,108.37933145074848,118.6502883253739,0.011280171370775947,0.01576747870193312,2.954615195473896,1.9326053876224096
rung_0.5,1,emp_all,3000,2.4889920092603006,12.797720152418469,15.703127707082011,22.697028474986233,0.010434035068356216,0.014727633134973663,3.1427635300843333,2.1425978020055334
rung_0.5,1,param,6000,0.6652821796985791,3.9335829177583506,5.5258876509640915,8.688966418139097,0.008679240340020995,0.012039191910871763,3.0477115285470893,2.0164463363338747
rung_0.5,2,emp_inlier,3000,65.31587227081991,83.08583445149497,88.6483750839571,100.2791656195237,0.0119700246966465,0.01636566409383107,2.683660794754159,2.0018198555385145
rung_0.5,2,param,6000,0.6513832843781984,3.9204768195416824,5.4174535438139175,8.628017227582852,0.008689284485673757,0.011944413328636019,2.794078436192931,1.9396942182820258
rung_0.5,2,emp_all,3000,0.5127992368657033,4.643981590537351,6.647406383368796,10.924941081899405,0.009966348566246726,0.01390088109178588,3.1437274606426757,1.964933666600569
rung_0.25,0,emp_inlier,3000,86.0431992243939,106.54639510510441,112.74626233745275,127.8544229018961,0.013906904970418271,0.01945925593912647,3.1938671531079272,1.9204455204734818
rung_0.25,0,emp_all,3000,4.3045195897427675,11.503227554928888,14.072707292146285,18.946275864205347,0.010618469593277353,0.014707182305310384,2.778009628267443,1.939128119243181
rung_0.25,0,param,6000,0.640586783001936,3.9910670371541994,5.297064963349112,9.03380755605173,0.008663603565317889,0.01198363963954736,2.8061264737960454,2.006077279918075
rung_0.25,1,emp_inlier,3000,66.54973817016662,84.22469990388981,90.01958438438196,99.61228134674707,0.012259466936950125,0.017078852754686867,3.763267557877526,1.9975441555205584
rung_0.25,1,param,6000,0.6416676951103,3.966131996027572,5.3885380944147325,8.646640924380574,0.00872289613060808,0.011980296370864339,2.9065093564913895,2.0417815830472086
rung_0.25,1,emp_all,3000,2.0772721153159637,7.60906799167169,9.989719295576375,15.93400371519696,0.009442589242987192,0.013137598026274847,3.007485776286504,1.9900559816464436
rung_0.25,2,emp_inlier,3000,90.62790235049079,111.84052269615695,118.47237215620434,132.5996441179164,0.012463569602037719,0.017776408792650404,2.831231973316384,1.883852910709734
rung_0.25,2,emp_all,3000,0.0058779285232049006,6.5387151678487045,11.025297757728996,18.834230396215077,0.009500545362114525,0.012884067468178011,3.528119681835701,2.183875717781057
rung_0.25,2,param,6000,0.6497965804005617,3.9151405794212693,5.346200344872024,8.619231178473646,0.008690125906993229,0.012028088866116587,2.7427508601180337,2.0532531339614226
tau_x10,0,emp_inlier,750,93.80939440329144,114.89217668775169,120.62177752172079,130.176575605932,0.013043733636914717,0.017907621675883553,3.022953023317186,1.8943888111631415
tau_x10,0,param,1500,0.6734116909070735,3.846241732074202,5.363657039671129,8.400749103610243,0.008744539701509886,0.012193949769882627,2.8938419454425337,2.030194384792169
tau_x10,0,emp_all,750,0.4305543947833712,3.670840222635582,5.279123197568264,7.57892637017533,0.009863102131283944,0.013653011629551286,3.071356119590575,1.9430316047568927
