lrt,dip,dip_p_table,pi_hat,gap,resid_sd,inlier_sd,cell,chunk,anchor,rung,sigma_s,d_true,d_over_sigma,pi_true,n_cross,minmass_pass
0.0,0.0089070531506573,0.9773781004835508,0.4967126890738709,0.0025093581454515,0.0199318410650978,0.0118334650224703,honest,0,0,1.0,0.2,0.7399854696420023,3.6999273482100112,0.0,0,True
0.248310000757101,0.0086112723992029,0.9862109349206016,0.4768161842941613,0.017853804138012,0.0193308784262536,0.0118505360668794,honest,0,0,0.5,0.1,0.7399854696420023,7.3998546964200225,0.0,0,True
0.4218019889331117,0.0132976202663305,0.4705919808097394,0.4156927131041379,0.0178533055711276,0.0198370105082531,0.0121290801171922,honest,0,0,0.25,0.05,0.7399854696420023,14.799709392840043,0.0,0,True
1.7041962183793655,0.0109491356667119,0.8074007205109262,0.3823562639261544,0.0214184276004985,0.0206666060365482,0.0126745927837228,honest,0,1,1.0,0.2,0.276317412597116,1.38158706298558,0.0,0,True
0.0,0.0088037244613343,0.9812279604333146,0.4153979476144334,0.0108768614588627,0.0201213192376918,0.0123945940083651,honest,0,1,0.5,0.1,0.276317412597116,2.76317412597116,0.0,0,True
0.6107061969587448,0.010557514262055,0.85178319629698,0.4931131234561287,0.01941421314471,0.0192810561794583,0.011854541113276,honest,0,1,0.25,0.05,0.276317412597116,5.52634825194232,0.0,0,True
0.2293581271760558,0.0090434138374671,0.9709826073944596,0.4605831324365278,0.0173115014487559,0.0196020498961866,0.0119393957704052,honest,0,2,1.0,0.2,0.3617204796990168,1.808602398495084,0.0,0,True
0.1406023808508507,0.0093014250695622,0.9588815459347668,0.3725500159807005,0.0146820069214692,0.0206056863111368,0.0122038713213703,honest,0,2,0.5,0.1,0.3617204796990168,3.617204796990168,0.0,0,True
0.0,0.0091743608926748,0.9648410206496996,0.4991137747405638,0.0148438041099622,0.0206080864745137,0.0123228472568916,honest,0,2,0.25,0.05,0.3617204796990168,7.234409593980335,0.0,0,True
1.9302852062132845,0.0081584303630489,0.9912549619460947,0.3496324868922412,0.0221599059152989,0.020756851973563,0.0125863200688354,honest,0,3,1.0,0.2,0.1576782023264816,0.7883910116324081,0.0,0,True
0.3139110914171397,0.0138119664770525,0.4008927960773149,0.4668228882667348,0.0180589011312892,0.019266044542672,0.0117833019151459,honest,0,3,0.5,0.1,0.1576782023264816,1.5767820232648162,0.0,0,True
0.6098308425953292,0.010246807638238,0.8869955954256881,0.4930128124399144,0.0210429954348507,0.0206019290681407,0.0126611224215554,honest,0,3,0.25,0.05,0.1576782023264816,3.1535640465296324,0.0,0,True
0.0227193464652373,0.0102771165773653,0.8835606816520236,0.4892870425386342,0.0163003338144091,0.01989356168387,0.0121497472207102,honest,0,4,1.0,0.2,1.5668291939679442,7.834145969839721,0.0,0,True
0.0,0.0119665871997787,0.664661540649671,0.4777448130882328,0.0033515893372971,0.0205040252489027,0.0119173370833188,honest,0,4,0.5,0.1,1.5668291939679442,15.668291939679442,0.0,0,True
0.0,0.0099643710902374,0.9130747633119124,0.3472204437770334,0.0101229614404672,0.0203056403797667,0.0122362596062809,honest,0,4,0.25,0.05,1.5668291939679442,31.336583879358884,0.0,0,True
0.1367554003718396,0.0082666784821083,0.9908117423582478,0.495853390236761,0.017123038896293,0.019359772872523,0.0117769730734244,honest,0,5,1.0,0.2,0.6697785272709742,3.3488926363548708,0.0,0,True
7.926725820378579,0.0116011944691472,0.7179846240443659,0.2322062944724136,0.026593900186299,0.0202393910439016,0.0123952803839544,honest,0,5,0.5,0.1,0.6697785272709742,6.6977852727097416,0.0,0,True
0.0463398911324475,0.0082440574474893,0.9909043636964072,0.4101221560696454,0.0123897168530734,0.0193823248842318,0.0117805195065436,honest,0,5,0.25,0.05,0.6697785272709742,13.395570545419485,0.0,0,True
1.812820494558764,0.0087296259820877,0.9831465204505112,0.3800857839552698,0.0212667509567208,0.0198784886617995,0.0121492201431639,honest,0,6,1.0,0.2,0.1170551555327734,0.5852757776638673,0.0,0,True
0.3802751120642824,0.0065972767650928,0.9976470716683188,0.2707495783251165,0.016028273116749,0.0193612265749044,0.0116454102637769,honest,0,6,0.5,0.1,0.1170551555327734,1.1705515553277346,0.0,0,True
0.3245250608729293,0.0069988040408988,0.9960030269011813,0.4061080984513329,0.016055845416486,0.0193603845280712,0.0115400743126958,honest,0,6,0.25,0.05,0.1170551555327734,2.341103110655469,0.0,0,True
2.2690776911140347,0.013660127841862,0.4214684878254919,0.4431304222062935,0.0232461065625394,0.0201399257206018,0.0125448482453799,honest,0,7,1.0,0.2,0.2022029947812896,1.011014973906448,0.0,0,True
0.2244918725937168,0.012620473229089,0.5675808396859402,0.4880715924917014,0.0191161391947444,0.0199225838108911,0.0123548546834432,honest,0,7,0.5,0.1,0.2022029947812896,2.022029947812896,0.0,0,True
10.805188898407778,0.0092748937431554,0.9601258995578557,0.1119018108292248,0.0286755441333006,0.0191647126582227,0.0111910331604685,honest,0,7,0.25,0.05,0.2022029947812896,4.044059895625792,0.0,0,True
4.464247101645015,0.0079988509876966,0.991908356255272,0.2335534259563133,0.0225630874492618,0.0189871270080961,0.0111572764872243,honest,0,8,1.0,0.2,0.6052830544527181,3.0264152722635904,0.0,0,True
0.4380679297705683,0.011820518398856,0.6864666292717765,0.4611257554578596,0.0189438625672939,0.020412388782877,0.0124017490503908,honest,0,8,0.5,0.1,0.6052830544527181,6.052830544527181,0.0,0,True
1.1335682671492575,0.0073870077331746,0.9944135352593289,0.3650808792886959,0.0196615304622894,0.0204303087877837,0.0124551930031138,honest,0,8,0.25,0.05,0.6052830544527181,12.105661089054362,0.0,0,True
0.2039674176630797,0.0108544731755677,0.8181288259492336,0.4110722999486432,0.0160246041320186,0.0200729666142376,0.0122647267506909,honest,0,9,1.0,0.2,1.221056305432498,6.105281527162489,0.0,0,True
4.415461314993991,0.0130131956027752,0.509900397836244,0.3825023884057634,0.0240735368992602,0.0197859698273576,0.0122165153272612,honest,0,9,0.5,0.1,1.221056305432498,12.21056305432498,0.0,0,True
0.0,0.0065371887349396,0.9978931008112772,0.1979069222877263,0.0031197497946873,0.0209120345484005,0.0119982263145662,honest,0,9,0.25,0.05,1.221056305432498,24.42112610864996,0.0,0,True
0.1297999558132687,0.0091609553344108,0.9654697587210505,0.3648407729389166,0.0144954928215474,0.0196430289318329,0.0121889466174226,honest,0,10,1.0,0.2,0.3772410921292714,1.886205460646357,0.0,0,True
0.2044881489546242,0.0071154489959058,0.9955254266497232,0.3297043593403341,0.0129552378319509,0.0191524142551691,0.0110967150384279,honest,0,10,0.5,0.1,0.3772410921292714,3.772410921292714,0.0,0,True
2.2729836531116234,0.0070431060889814,0.995821633121201,0.407130909079918,0.023340164176353,0.0203106745678598,0.0125772853885134,honest,0,10,0.25,0.05,0.3772410921292714,7.544821842585428,0.0,0,True
0.0,0.0099654536092839,0.9129903587064032,0.210749538654266,0.0117717585564247,0.0193203217918144,0.0118044029553371,honest,0,11,1.0,0.2,0.1564287533170466,0.7821437665852332,0.0,0,True
0.2181138654168535,0.0084898636463037,0.989354453943104,0.3505627386052566,0.0150353631717204,0.0196150320118238,0.0115797718511783,honest,0,11,0.5,0.1,0.1564287533170466,1.5642875331704664,0.0,0,True
