n_gated,n_honest,n_detectable,power,fp_honest,fp_no_crossing,abstain_gated,abstain_honest,delta_med,delta_q25,delta_q75,delta_pmin_med,delta_pmin_q25,delta_pmin_q75,delta_honest,tau_obs
240,240,164,0.975609756097561,0.0,0.0,0.0,0.0,0.1256056432454,0.01070128560818015,0.2511655475166604,0.2477237801252249,0.24321098035060174,0.28164015394784436,0.00740407916357545,0.005
240,240,165,0.9636363636363636,0.0,0.0,0.0,0.0,0.1290259996684807,0.1242864849336909,0.26350688867154315,0.2481097905630033,0.24310212758345795,0.2811485560349473,0.0122838605859844,0.01
240,240,166,0.891566265060241,0.0,0.0,0.0,0.0,0.24884943870661996,0.13164444824822058,0.2661377864306553,0.2483574358417367,0.24475826425917063,0.2808991620334399,0.0199852034776681,0.02
240,240,164,0.5670731707317073,0.0,0.0,0.0,0.0,0.2646031719887096,0.2512752017901177,0.2721615991902326,0.2519795167084869,0.2478571373319225,0.28167407151452,0.0436613989138408,0.05
240,240,162,0.012345679012345678,0.0,0.0,0.004166666666666667,0.325,0.28763260449500117,0.28289463161842887,0.2923705773715734,0.28763260449500117,0.28289463161842887,0.2923705773715734,0.08390639016515611,0.1
240,240,166,0.0,0.004166666666666667,0.0,0.25,0.7916666666666666,,,,,,,0.1581977948602611,0.2
