D,strategy,model,anchor,dist,flag,p_min,pi_true_max,n_tests
2,iso_total,gated,0.556060606060606,0.056060606060606,True,0.0002,0.352,3
2,iso_total,gated,0.5590909090909091,0.059090909090909,True,0.0002,0.3419999999999999,3
2,iso_total,gated,0.5621212121212121,0.0621212121212121,True,0.0002,0.3309999999999999,3
2,iso_total,gated,0.5651515151515152,0.0651515151515151,True,0.0002,0.3239999999999999,3
2,iso_total,gated,0.5681818181818181,0.0681818181818181,True,0.0002,0.3149999999999999,3
2,iso_total,gated,0.5712121212121213,0.0712121212121212,True,0.0002,0.3149999999999999,3
2,iso_total,gated,0.5742424242424242,0.0742424242424242,True,0.0002,0.271,3
2,iso_total,gated,0.5772727272727273,0.0772727272727272,True,0.0002,0.289,3
2,iso_total,gated,0.5803030303030303,0.0803030303030303,True,0.0002,0.271,3
2,iso_total,gated,0.5833333333333334,0.0833333333333333,True,0.0002,0.274,3
2,iso_total,gated,0.5863636363636364,0.0863636363636364,True,0.0002,0.261,3
2,iso_total,gated,0.5893939393939394,0.0893939393939393,True,0.0002,0.265,3
2,iso_total,gated,0.5924242424242424,0.0924242424242424,True,0.0002,0.257,3
2,iso_total,gated,0.5954545454545455,0.0954545454545454,True,0.0002,0.2299999999999999,3
2,iso_total,gated,0.5984848484848485,0.0984848484848485,True,0.0002,0.2229999999999999,3
2,iso_total,gated,0.6015151515151516,0.1015151515151515,True,0.0002,0.251,3
2,iso_total,gated,0.6045454545454545,0.1045454545454545,True,0.0002,0.235,3
2,iso_total,gated,0.6075757575757577,0.1075757575757576,True,0.0002,0.237,3
2,iso_total,gated,0.6106060606060606,0.1106060606060606,True,0.0002,0.2249999999999999,3
2,iso_total,gated,0.6136363636363636,0.1136363636363636,True,0.0002,0.1879999999999999,3
2,iso_total,gated,0.6166666666666667,0.1166666666666667,True,0.0002,0.2039999999999999,3
2,iso_total,gated,0.6196969696969696,0.1196969696969696,True,0.0002,0.2069999999999999,3
2,iso_total,gated,0.6227272727272728,0.1227272727272728,True,0.0002,0.1949999999999999,2
2,iso_total,gated,0.6257575757575757,0.1257575757575757,True,0.0002,0.185,3
2,iso_total,gated,0.6287878787878788,0.1287878787878787,True,0.0002,0.171,3
2,iso_total,gated,0.6318181818181818,0.1318181818181818,True,0.0002,0.153,3
2,iso_total,gated,0.6348484848484849,0.1348484848484848,True,0.0002,0.162,3
2,iso_total,gated,0.6378787878787879,0.1378787878787879,True,0.0002,0.146,3
2,iso_total,gated,0.6409090909090909,0.1409090909090908,True,0.0002,0.163,2
2,iso_total,gated,0.643939393939394,0.143939393939394,True,0.0002,0.161,3
2,iso_total,gated,0.646969696969697,0.1469696969696969,True,0.0002,0.147,3
2,iso_total,gated,0.65,0.15,True,0.0002,0.166,3
2,iso_total,honest,0.35,0.15,False,0.9038,0.157,3
2,iso_total,honest,0.353030303030303,0.1469696969696969,False,0.9042,0.146,3
2,iso_total,honest,0.356060606060606,0.1439393939393939,False,0.335,0.154,3
2,iso_total,honest,0.359090909090909,0.1409090909090909,False,0.9158,0.158,3
