anchor,region,p_min,sstar,k_true,k_hat,n_scales_signal,gap1,gap2,beta_loc,levels
0.02,0,0.0004,0.4,3,4,1,0.4431521775436944,0.1074269072552352,0.2209165864757315,-0.6222;-0.1790;-0.0716;0.0031
0.0264429530201342,0,0.0968,0.4,2,4,1,0.438832966961955,0.1352384737091676,0.1487104705122328,-0.6217;-0.1828;-0.0476;0.0125
0.0328859060402684,0,0.001,0.4,3,4,1,0.4388889210825728,0.1393717771839085,0.1861595321730698,-0.6237;-0.1848;-0.0454;0.0138
0.0393288590604026,0,0.0002,0.4,3,4,1,0.4483043405533521,0.1324079159771775,0.1513115950909089,-0.6299;-0.1816;-0.0492;0.0115
0.0457718120805369,0,0.0004,0.4,3,4,1,0.4467389335621343,0.1344025931602619,0.1097818166817953,-0.6315;-0.1848;-0.0504;0.0080
0.0522147651006711,0,0.0064,0.4,3,4,1,0.4470199176475574,0.1394227362036312,0.1159674301128244,-0.6281;-0.1811;-0.0417;0.0183
0.0586577181208053,0,0.0004,0.4,3,4,1,0.4462610024914389,0.1398586517340477,0.1199618531352357,-0.6299;-0.1836;-0.0438;0.0116
0.0651006711409395,0,0.0002,0.4,3,4,1,0.4471975927570242,0.1366360954431211,0.1355412903763956,-0.6321;-0.1849;-0.0482;0.0101
0.0715436241610738,0,0.001,0.4,3,4,1,0.4479730400772334,0.1464914569980978,0.1698113526396142,-0.6395;-0.1915;-0.0450;0.0105
0.077986577181208,0,0.0002,0.4,3,4,1,0.4398019954474973,0.1285484041957008,0.1074491881292828,-0.6299;-0.1901;-0.0616;0.0012
0.0844295302013422,0,0.0002,0.4,3,4,1,0.4521298988791466,0.1528564552735946,0.1291536275611135,-0.6421;-0.1899;-0.0371;0.0148
0.0908724832214765,0,0.0002,0.4,3,4,1,0.4436405493096318,0.1401223303151749,0.1523504288254632,-0.6362;-0.1926;-0.0524;0.0021
0.0973154362416107,0,0.0002,0.4,3,4,1,0.4472741328509786,0.1330834774673197,0.1980728130763181,-0.6457;-0.1984;-0.0653;-0.0044
0.1037583892617449,0,0.0002,0.4,3,4,1,0.4507509132541315,0.141356209935298,0.1333090827832479,-0.6409;-0.1901;-0.0488;-0.0005
0.1102013422818792,0,0.0002,0.4,3,4,1,0.4486962698602497,0.1355274492172722,0.1422269201805637,-0.6394;-0.1907;-0.0552;0.0037
0.1166442953020134,0,0.0002,0.4,3,4,1,0.4463239360100594,0.0905529548598857,0.1338408460760934,-0.6420;-0.1957;-0.1051;-0.0135
0.1230872483221476,0,0.0002,0.4,3,4,1,0.4443155103703849,0.1330393436717781,0.173812822557768,-0.6452;-0.2009;-0.0679;-0.0132
0.1295302013422818,0,0.0002,0.4,3,4,1,0.4410665895873956,0.1518497969343682,0.1576660875620639,-0.6363;-0.1953;-0.0434;0.0079
0.1359731543624161,0,0.0002,0.4,3,4,1,0.4482907459694177,0.1155056793583902,0.1734898686969753,-0.6498;-0.2015;-0.0860;-0.0154
0.1424161073825503,0,0.0002,0.4,3,4,1,0.4425186650317482,0.1515406142906654,0.1123476478194191,-0.6368;-0.1943;-0.0427;0.0092
0.1488590604026845,0,0.0002,0.4,3,4,1,0.4322047018059954,0.1468025372528546,0.1108913741662038,-0.6275;-0.1953;-0.0485;-0.0004
0.1553020134228187,0,0.0002,0.4,3,4,1,0.4520076606046153,0.1378297981190797,0.1649399730995367,-0.6508;-0.1988;-0.0610;-0.0045
0.161744966442953,0,0.0002,0.4,3,4,1,0.442957697404324,0.1497347706954851,0.1341468938234149,-0.6417;-0.1987;-0.0490;0.0023
0.1681879194630872,0,0.0002,0.4,3,4,1,0.4370698630131113,0.1390209853819089,0.1797068861551312,-0.6482;-0.2111;-0.0721;-0.0107
0.1746308724832214,0,0.0002,0.4,3,4,1,0.4361002313513501,0.1410668264722651,0.1179701631772005,-0.6356;-0.1995;-0.0585;-0.0040
0.1810738255033556,0,0.0002,0.4,3,4,1,0.438780754292253,0.1471518313325613,0.1383450437616822,-0.6419;-0.2031;-0.0560;0.0017
0.1875167785234899,0,0.0002,0.4,3,4,1,0.450871471556571,0.1519655942607186,0.12139474132491,-0.6495;-0.1986;-0.0466;0.0069
0.1939597315436241,0,0.0002,0.4,3,4,1,0.4434262636484268,0.1471500384023534,0.1181776560541838,-0.6447;-0.2012;-0.0541;-0.0009
0.2004026845637583,0,0.0002,0.4,3,4,1,0.4473168138041342,0.1563656615621675,0.2042130377253104,-0.6623;-0.2150;-0.0586;-0.0057
0.2068456375838926,0,0.0002,0.4,3,4,1,0.4440361581097642,0.1458101239555295,0.0995843764348286,-0.6416;-0.1975;-0.0517;0.0024
