pi_top,surface,detector,rule,fire,abstain
0.2,resonant_1.0L,dip|LRT,naive,0.9090909090909091,0.0
0.2,resonant_1.0L,dip|LRT,2-rung,0.4,0.37272727272727274
0.2,resonant_1.0L,dip|LRT,3-rung,0.06818181818181818,0.00909090909090909
0.2,resonant_1.0L,-,alpha,0.7789383718487713,0.00909090909090909
0.2,resonant_1.5L,dip,naive,0.0,0.0
0.2,resonant_1.5L,dip,2-rung,0.0,0.0
0.2,resonant_1.5L,dip,3-rung,0.0,0.0
0.2,resonant_1.5L,LRT,naive,0.8318181818181818,0.0
0.2,resonant_1.5L,LRT,2-rung,0.3090909090909091,0.1409090909090909
0.2,resonant_1.5L,LRT,3-rung,0.15,0.03636363636363636
0.2,resonant_1.5L,dip|LRT,naive,0.8318181818181818,0.0
0.2,resonant_1.5L,dip|LRT,2-rung,0.3090909090909091,0.1409090909090909
0.2,resonant_1.5L,dip|LRT,3-rung,0.15,0.03636363636363636
0.2,resonant_1.5L,-,alpha,0.8196695955935591,0.03636363636363636
0.2,gated,dip,naive,0.0,0.0
0.2,gated,dip,2-rung,0.0,0.0
0.2,gated,dip,3-rung,0.0,0.0
0.2,gated,LRT,naive,0.2409090909090909,0.0
0.2,gated,LRT,2-rung,0.17272727272727273,0.02727272727272727
0.2,gated,LRT,3-rung,0.1409090909090909,0.0
0.2,gated,dip|LRT,naive,0.2409090909090909,0.0
0.2,gated,dip|LRT,2-rung,0.17272727272727273,0.02727272727272727
0.2,gated,dip|LRT,3-rung,0.1409090909090909,0.0
0.2,gated,-,alpha,0.3090166533677091,0.0
0.2,gated+resonant,dip,naive,0.004545454545454545,0.0
0.2,gated+resonant,dip,2-rung,0.004545454545454545,0.0
0.2,gated+resonant,dip,3-rung,0.0,0.0
0.2,gated+resonant,LRT,naive,0.8590909090909091,0.0
0.2,gated+resonant,LRT,2-rung,0.8590909090909091,0.0
0.2,gated+resonant,LRT,3-rung,0.38636363636363635,0.0
0.2,gated+resonant,dip|LRT,naive,0.8590909090909091,0.0
0.2,gated+resonant,dip|LRT,2-rung,0.8590909090909091,0.0
0.2,gated+resonant,dip|LRT,3-rung,0.38636363636363635,0.0
0.2,gated+resonant,-,alpha,0.5062087514831546,0.0
0.35,honest,dip,naive,0.0,0.0
0.35,honest,dip,2-rung,0.0,0.0
0.35,honest,dip,3-rung,0.0,0.0
0.35,honest,LRT,naive,0.04090909090909091,0.0
0.35,honest,LRT,2-rung,0.03636363636363636,0.0
0.35,honest,LRT,3-rung,0.04090909090909091,0.0
0.35,honest,dip|LRT,naive,0.04090909090909091,0.0
0.35,honest,dip|LRT,2-rung,0.03636363636363636,0.0
0.35,honest,dip|LRT,3-rung,0.04090909090909091,0.0
0.35,honest,-,alpha,-0.004081130875689125,0.0
0.35,resonant_0.5L,dip,naive,0.022727272727272728,0.0
0.35,resonant_0.5L,dip,2-rung,0.022727272727272728,0.0
0.35,resonant_0.5L,dip,3-rung,0.022727272727272728,0.0
0.35,resonant_0.5L,LRT,naive,1.0,0.0
0.35,resonant_0.5L,LRT,2-rung,0.990909090909091,0.0
0.35,resonant_0.5L,LRT,3-rung,0.740909090909091,0.0
0.35,resonant_0.5L,dip|LRT,naive,1.0,0.0
0.35,resonant_0.5L,dip|LRT,2-rung,0.990909090909091,0.0
0.35,resonant_0.5L,dip|LRT,3-rung,0.740909090909091,0.0
0.35,resonant_0.5L,-,alpha,0.10086052402439757,0.0
0.35,resonant_1.0L,dip,naive,0.0,0.0
0.35,resonant_1.0L,dip,2-rung,0.0,0.0
0.35,resonant_1.0L,dip,3-rung,0.0,0.0
0.35,resonant_1.0L,LRT,naive,0.9272727272727272,0.0
0.35,resonant_1.0L,LRT,2-rung,0.34545454545454546,0.35909090909090907
0.35,resonant_1.0L,LRT,3-rung,0.07727272727272727,0.00909090909090909
0.35,resonant_1.0L,dip|LRT,naive,0.9272727272727272,0.0
