lrt,dip,dip_p_table,pi_hat,gap,resid_sd,inlier_sd,p_lrt_param,p_dip_param,q95_lrt_param,med_lrt_param,cell,chunk,anchor,rung,sigma_s,pi_true,n_cross,minmass_pass,p_lrt_emp_inlier,p_dip_emp_inlier,q95_lrt_emp_inlier,med_lrt_emp_inlier,p_lrt_emp_all,p_dip_emp_all,q95_lrt_emp_all,med_lrt_emp_all
1.0793116363997797,0.00676275353928,0.996969530586859,0.460928683551868,0.0204140662962452,0.0193620234713716,0.0119680191511706,0.3754152823920266,0.9235880398671096,4.647640038733289,0.6553631093493095,honest,0,0,1.0,0.2,0.0,0,True,,,,,,,,
2.8878424090098638,0.0095222604113387,0.947546376134359,0.3082536213606371,0.0242527404883058,0.0210271195226169,0.0129741638303461,0.1262458471760797,0.3156146179401993,4.597821138295309,0.5068095343635832,honest,0,0,0.5,0.1,0.0,0,True,,,,,,,,
1.371673277100399,0.0099188619638142,0.9166231349320164,0.3376399838469497,0.0188908721234819,0.0190983893415133,0.0116525275514952,0.3289036544850498,0.2458471760797342,5.6911828803718905,0.6003280061559053,honest,0,0,0.25,0.05,0.0,0,True,,,,,,,,
0.3311990888523723,0.0071947674915059,0.9952006587809232,0.4461563457866935,0.0185056355332631,0.0207722145283966,0.0126702053506783,0.5647840531561462,0.8803986710963455,4.953743995628816,0.5271691721104617,honest,0,1,1.0,0.2,0.0,0,True,,,,,,,,
3.7676766387317,0.0092208005641542,0.9626629398189648,0.4351732065238732,0.0240629577777372,0.0195467800183489,0.0123266654201701,0.1262458471760797,0.362126245847176,5.318221312109155,0.7006317402451714,honest,0,1,0.5,0.1,0.0,0,True,,,,,,,,
11.289358222837109,0.0074346033688537,0.9942186559559992,0.184533648115193,0.0283719496226467,0.0198468893753394,0.0118182427694197,0.0099667774086378,0.8272425249169435,5.03383637608106,0.5759813982240303,honest,0,1,0.25,0.05,0.0,0,True,,,,,,,,
0.6850424576869045,0.0071084903178323,0.9955539188069498,0.2527796899784093,0.0184272141703485,0.0209679911522212,0.01255261040941,0.4916943521594684,0.8970099667774086,5.787257725670932,0.6640276868763522,honest,0,2,1.0,0.2,0.0,0,True,,,,,,,,
2.420426866012349,0.0113251804559512,0.7565651858497939,0.3361793173929294,0.0216565598691132,0.0194691311137657,0.0119991943287025,0.2292358803986711,0.0996677740863787,5.30390579829641,0.6134635567702844,honest,0,2,0.5,0.1,0.0,0,True,,,,,,,,
0.0,0.0086487089539028,0.9852416265385792,0.4980812589388682,0.0013566116018851,0.0199868039788465,0.0113709863015497,1.0,0.5016611295681063,5.07449429430567,0.6088554764864966,honest,0,2,0.25,0.05,0.0,0,True,,,,,,,,
0.0,0.0078930794005729,0.9923414357365438,0.2792200962084275,0.010286673204877,0.0202322857505051,0.0118771335784193,1.0,0.707641196013289,5.749615071787093,0.6917586596134697,honest,0,3,1.0,0.2,0.0,0,True,,,,,,,,
0.0,0.0085208019180372,0.9885533992959292,0.4703626666577593,0.0053685689025514,0.0203346506879974,0.0120622837567895,1.0,0.5182724252491694,5.46530178821929,0.5185705448257067,honest,0,3,0.5,0.1,0.0,0,True,,,,,,,,
1.9324355807234497,0.0081104945683518,0.9914512340231838,0.432107308058339,0.0209175057568326,0.0187886242320293,0.0115741372906484,0.2358803986710963,0.6511627906976745,5.478392760296698,0.6237576536809684,honest,0,3,0.25,0.05,0.0,0,True,,,,,,,,
0.0,0.0076298445536929,0.9934192451373436,0.4073197820361352,0.0094476970699597,0.0205383742801698,0.0124762525408495,1.0,0.813953488372093,5.282220900871086,0.5210045689793787,honest,0,4,1.0,0.2,0.0,0,True,,,,,,,,
2.3805020557902026,0.0087033252576244,0.9838274995865453,0.2958865822500505,0.0214515807518954,0.0196416967937201,0.0119803256336729,0.2093023255813953,0.5116279069767442,4.64898783010706,0.6173496548310595,honest,0,4,0.5,0.1,0.0,0,True,,,,,,,,
1.497054296245551,0.0082639460219057,0.9908229303575896,0.3826064893895581,0.0230587319815488,0.0205703840970115,0.0127633483345585,0.3322259136212624,0.6179401993355482,5.408069490065671,0.7896170991023155,honest,0,4,0.25,0.05,0.0,0,True,,,,,,,,
0.3217229890692579,0.0081185050966868,0.9914184350877572,0.0460267542737067,0.0205280773325634,0.018859760328539,0.0114449844769911,0.5714285714285714,0.6744186046511628,5.576146456689414,0.518420800394324,honest,0,5,1.0,0.2,0.0,0,False,,,,,,,,
0.0,0.0071462419468989,0.9953993455762936,0.4315360863380727,0.0096048594972888,0.0199144646554095,0.0117784307585973,1.0,0.8604651162790697,5.588030935017334,0.7217913948227306,honest,0,5,0.5,0.1,0.0,0,True,,,,,,,,
0.1553716824455477,0.009554692012761,0.9450176663320418,0.4163534263641516,0.0156894798415706,0.0201132094487568,0.0120333902872489,0.6943521594684385,0.3322259136212624,5.370447847885137,0.5705553677055377,honest,0,5,0.25,0.05,0.0,0,True,,,,,,,,
0.0,0.0088391221386284,0.9803114427254128,0.4964214418896175,0.008037896050944,0.0200885718236376,0.0118634217845745,1.0,0.4485049833887043,5.549113869412873,0.7054853427653143,honest,0,6,1.0,0.2,0.0,0,True,,,,,,,,
3.0756036953921466,0.0075672122974286,0.993675691559218,0.0843520714977748,0.0260382128974611,0.020256689780587,0.0120876663507862,0.1594684385382059,0.7940199335548173,5.54590648573303,0.8385344064733999,honest,0,6,0.5,0.1,0.0,0,True,,,,,,,,
4.518879519652273,0.0094550019195134,0.9516785924627216,0.472646898516858,0.0248599940531219,0.0197479477236356,0.0125798238847682,0.0697674418604651,0.335548172757475,4.943641446597372,0.5429495483283517,honest,0,6,0.25,0.05,0.0,0,True,,,,,,,,
1.9717368483043172,0.0075750156536669,0.993643740885471,0.4350100474914369,0.0221555513965331,0.0196759901693398,0.0122797808651882,0.2857142857142857,0.7940199335548173,5.110305279140133,0.7288771250568971,honest,0,7,1.0,0.2,0.0,0,True,,,,,,,,
1.5400595122500818,0.0078343513695883,0.9925818963922508,0.1927410835127781,0.0205677429658059,0.0210621515898412,0.0118674033575352,0.362126245847176,0.6910299003322259,6.194606701514795,0.9822284438680526,honest,0,7,0.5,0.1,0.0,0,True,,,,,,,,
0.0736930901189225,0.0080292859821013,0.9917837408273696,0.4724295432080131,0.0172726015451839,0.0198606674450396,0.012246612298655,0.6777408637873754,0.6744186046511628,5.115404860550211,0.53117882300171,honest,0,7,0.25,0.05,0.0,0,True,,,,,,,,
1.782289981558279,0.0087774342171607,0.9819086682133766,0.3577398951347207,0.0206723701631429,0.0192869902321001,0.0120168508980406,0.292358803986711,0.4385382059800664,6.119603677989789,0.7440203112207655,honest,0,8,1.0,0.2,0.0,0,True,,,,,,,,
0.088871870733783,0.0086262173528355,0.9858239797389308,0.4443946903100388,0.0147139552177954,0.0200641191493836,0.0121845291610071,0.7275747508305648,0.5182724252491694,4.884244389376887,0.644565653623431,honest,0,8,0.5,0.1,0.0,0,True,,,,,,,,
