dt_ratio,pi_target,placement,N,estimator,null,power,fp,orient_err,offset_err
1.5,0.1,random,25,B,perm,0.0333333333333333,0.05,,
1.5,0.1,random,25,C,honest,0.01,0.05,,
1.5,0.1,random,25,C,perm,0.0333333333333333,0.05,,
1.5,0.1,random,25,point,-,,,52.77637444327077,0.1865959217413038
1.5,0.1,random,50,A,honest,0.48,0.05,,
1.5,0.1,random,50,A,perm,0.0433333333333333,0.05,,
1.5,0.1,random,50,B,honest,0.0333333333333333,0.05,,
1.5,0.1,random,50,B,perm,0.0133333333333333,0.05,,
1.5,0.1,random,50,C,honest,0.03,0.05,,
1.5,0.1,random,50,C,perm,0.0533333333333333,0.05,,
1.5,0.1,random,50,point,-,,,55.4343649267608,0.11828842647956
1.5,0.1,random,100,A,honest,0.7433333333333333,0.05,,
1.5,0.1,random,100,A,perm,0.02,0.05,,
1.5,0.1,random,100,B,honest,0.0633333333333333,0.05,,
1.5,0.1,random,100,B,perm,0.0033333333333333,0.05,,
1.5,0.1,random,100,C,honest,0.0,0.05,,
1.5,0.1,random,100,C,perm,0.0066666666666666,0.05,,
1.5,0.1,random,100,point,-,,,62.16034905351923,0.0759821299449928
2.5,0.1,random,5,A,honest,0.3233333333333333,0.05,,
2.5,0.1,random,5,A,perm,0.0333333333333333,0.05,,
2.5,0.1,random,5,B,honest,0.1333333333333333,0.01,,
2.5,0.1,random,5,B,perm,0.0633333333333333,0.05,,
2.5,0.1,random,5,C,honest,0.1266666666666666,0.05,,
2.5,0.1,random,5,C,perm,0.08,0.05,,
2.5,0.1,random,5,point,-,,,19.84198319650772,0.2609950756511597
2.5,0.1,random,10,A,honest,0.5566666666666666,0.05,,
2.5,0.1,random,10,A,perm,0.0266666666666666,0.05,,
2.5,0.1,random,10,B,honest,0.3033333333333333,0.05,,
2.5,0.1,random,10,B,perm,0.15,0.05,,
2.5,0.1,random,10,C,honest,0.1966666666666666,0.05,,
2.5,0.1,random,10,C,perm,0.1466666666666666,0.05,,
2.5,0.1,random,10,point,-,,,12.5005939596585,0.189264796509298
2.5,0.1,random,25,A,honest,0.76,0.05,,
2.5,0.1,random,25,A,perm,0.0233333333333333,0.05,,
2.5,0.1,random,25,B,honest,0.5666666666666667,0.05,,
2.5,0.1,random,25,B,perm,0.3533333333333333,0.05,,
2.5,0.1,random,25,C,honest,0.52,0.05,,
2.5,0.1,random,25,C,perm,0.3933333333333333,0.05,,
2.5,0.1,random,25,point,-,,,8.624115680673949,0.126984065092966
2.5,0.1,random,50,A,honest,0.9533333333333334,0.05,,
2.5,0.1,random,50,A,perm,0.01,0.05,,
2.5,0.1,random,50,B,honest,0.7,0.05,,
2.5,0.1,random,50,B,perm,0.6066666666666667,0.05,,
2.5,0.1,random,50,C,honest,0.8,0.05,,
2.5,0.1,random,50,C,perm,0.6866666666666666,0.05,,
2.5,0.1,random,50,point,-,,,5.711167133003845,0.0966708827864635
2.5,0.1,random,100,A,honest,1.0,0.05,,
2.5,0.1,random,100,A,perm,0.0133333333333333,0.05,,
2.5,0.1,random,100,B,honest,0.9766666666666668,0.05,,
2.5,0.1,random,100,B,perm,0.8866666666666667,0.05,,
2.5,0.1,random,100,C,honest,0.9933333333333332,0.05,,
2.5,0.1,random,100,C,perm,0.9666666666666668,0.05,,
2.5,0.1,random,100,point,-,,,4.1737121850830015,0.0677152241583165
5.0,0.1,random,5,A,honest,0.7333333333333333,0.05,,
5.0,0.1,random,5,A,perm,0.0333333333333333,0.05,,
5.0,0.1,random,5,B,honest,0.6833333333333333,0.0266666666666666,,
5.0,0.1,random,5,B,perm,0.28,0.05,,
5.0,0.1,random,5,C,honest,0.4133333333333333,0.05,,
5.0,0.1,random,5,C,perm,0.3033333333333333,0.05,,
5.0,0.1,random,5,point,-,,,5.279868704344899,0.1333759637075447
5.0,0.1,random,10,A,honest,0.93,0.05,,
5.0,0.1,random,10,A,perm,0.0966666666666666,0.05,,
5.0,0.1,random,10,B,honest,0.8966666666666666,0.05,,
5.0,0.1,random,10,B,perm,0.6133333333333333,0.05,,
5.0,0.1,random,10,C,honest,0.8133333333333334,0.05,,
5.0,0.1,random,10,C,perm,0.75,0.05,,
5.0,0.1,random,10,point,-,,,3.165718797179694,0.0879097270308833
5.0,0.1,random,25,A,honest,0.9966666666666668,0.05,,
5.0,0.1,random,25,A,perm,0.0433333333333333,0.05,,
5.0,0.1,random,25,B,honest,0.9866666666666668,0.05,,
5.0,0.1,random,25,B,perm,0.86,0.05,,
5.0,0.1,random,25,C,honest,0.99,0.05,,
5.0,0.1,random,25,C,perm,0.9666666666666668,0.05,,
5.0,0.1,random,25,point,-,,,1.850033863042061,0.0557868538434694
5.0,0.1,random,50,A,honest,1.0,0.05,,
5.0,0.1,random,50,A,perm,0.0866666666666666,0.05,,
5.0,0.1,random,50,B,honest,1.0,0.05,,
5.0,0.1,random,50,B,perm,0.9966666666666668,0.05,,
5.0,0.1,random,50,C,honest,1.0,0.05,,
5.0,0.1,random,50,C,perm,1.0,0.05,,
5.0,0.1,random,50,point,-,,,1.477069559785284,0.0380662436209399
5.0,0.1,random,100,A,honest,1.0,0.05,,
5.0,0.1,random,100,A,perm,0.0833333333333333,0.05,,
5.0,0.1,random,100,B,honest,1.0,0.05,,
5.0,0.1,random,100,B,perm,1.0,0.05,,
5.0,0.1,random,100,C,honest,1.0,0.05,,
5.0,0.1,random,100,C,perm,1.0,0.05,,
5.0,0.1,random,100,point,-,,,1.29281001170157,0.0345931535581794
