kappa,surface,anchor,sigma_top,n_estimable,n_fire,alpha,fire_top,fire_mid,fire_deep,pi_top,pi_deep,gap_top,gap_deep,dos_top,dos_deep
0.78,gated_dt1.95,57,0.1999220442249576,1,1,,True,False,False,0.0923527171795198,0.4920700130974593,0.0340782631481833,0.0039090547927821,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,58,0.1999220442249576,0,0,,False,False,False,0.3091989259111048,0.4513945151909385,0.0054464461920416,0.0197332834046447,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,59,0.1999220442249576,0,0,,False,False,False,0.2935468772359492,0.4437292503503747,0.0206941873268196,0.0196857728088713,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,60,0.1999220442249576,0,0,,False,False,False,0.4979771118129774,0.4294527533653985,0.0224422278645155,0.023583666589445,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,61,0.1999220442249576,0,0,,False,False,False,0.2747759612397197,0.4785007212425613,0.0241044511962257,0.0199639447066827,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,62,0.1999220442249576,0,0,,False,False,False,0.3442921586241527,0.1291475736278236,0.0191537476457743,0.0258258055555096,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,63,0.1999220442249576,0,0,,False,False,False,0.2750514482717643,0.3642555948897303,0.0247539443964923,0.0205383629979836,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,64,0.1999220442249576,0,0,,False,False,False,0.1994994459735057,0.3374099263274027,0.0240476125029941,0.0045859986752491,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,65,0.1999220442249576,0,0,,False,False,False,0.4182213815424193,0.3150253064364359,0.0141546005368253,0.0119029252755172,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,66,0.1999220442249576,0,0,,False,False,False,0.3153530827265449,0.4900247886769858,0.0258431021534722,0.0181055191485718,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,67,0.1999220442249576,0,0,,False,False,False,0.3214129779975211,0.315911772642982,0.0201145402288666,0.0207861866799549,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,68,0.1999220442249576,1,1,,True,False,False,0.1566453749125657,0.4954126560529161,0.032725924329458,0.0222779156796035,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,69,0.1999220442249576,0,0,,False,False,False,0.343933413687761,0.21941305412943,0.02369129700512,0.0228259626813811,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,70,0.1999220442249576,2,2,0.3556613942317022,True,True,False,0.1226701565680724,0.4820394587083076,0.0331017098349592,0.0240458840673614,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,71,0.1999220442249576,0,0,,False,False,False,0.2623174871670701,0.3881824588898011,0.0258003256249952,0.0078721701144647,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,72,0.1999220442249576,1,1,,True,False,False,0.156725288532203,0.2549510582312278,0.0282765419680872,0.0198783824478138,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,73,0.1999220442249576,1,1,,True,False,False,0.1950590534194038,0.4575272926141692,0.0274442823735065,0.0222917270258148,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,74,0.1999220442249576,1,1,,True,False,False,0.1198785445153111,0.3280091176018532,0.0335545204623025,0.0201528706062431,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,75,0.1999220442249576,0,0,,False,False,False,0.309605956794219,0.488056409536434,0.0189562021153296,0.0033376197372604,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,76,0.1999220442249576,0,0,,False,False,False,0.3578689933693004,0.3753217518926868,0.0154291176899785,0.0165117815854548,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,77,0.1999220442249576,0,0,,False,False,False,0.3047974218594194,0.3557768644384134,0.0268779534520383,0.0198244239503545,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,78,0.1999220442249576,0,0,,False,False,False,0.4929797453346119,0.3554353761763845,0.0006779874849107,0.0205734439204174,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,79,0.1999220442249576,0,0,,False,False,False,0.3245286506482635,0.4831805860102368,0.0194604805971771,0.002110843122256,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,80,0.1999220442249576,0,0,,False,False,False,0.3831534686302288,0.3973384284428647,0.0233672896997835,0.0230151148856882,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,81,0.1999220442249576,0,0,,False,False,False,0.4006616974488256,0.3096108948773159,0.0166198624870807,0.0243424320851091,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,82,0.1999220442249576,1,2,,True,True,False,0.2079585580326567,0.3308337354992153,0.0289517678187988,0.0205429668888662,1.282051282051282,5.128205128205128
