n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,idx,x1,x2,gated_side,dist
2,0.8934,False,0.0190424852182613,,0.5020081366348886,1,0.0190424852182613,0.009,False,False,gated,0,0.0493392174192088,0.024181681410469,False,0.4783695545087587
2,0.0002,True,0.1435505427039863,0.8601220302824071,0.4256263832384833,0,0.2670215269435406,0.108,True,False,gated,1,0.669269016522749,0.2389222907200076,False,0.2496752752735905
2,0.0002,True,0.2841489045427738,0.041065751867658,0.1969999849885403,1,0.2724801161353123,0.359,True,False,gated,2,0.5757726565872945,0.4227115718045047,False,0.1082273898024956
2,0.0002,True,0.1411688244593802,0.892926610729506,0.7243110337397438,0,0.2672222244254562,0.1069999999999999,True,False,gated,3,0.1503343241223747,0.7792145965245615,True,0.2003642073937773
2,0.9716,False,0.1464893302411019,0.8765246564235474,0.7646950906893655,0,0.0180878203809279,0.03,False,False,gated,4,0.3546115183848788,0.8531941997959072,True,0.3397902235772794
2,0.0002,True,0.2637424834988417,,0.1229998851105893,1,0.2637424834988417,0.107,True,False,gated,5,0.3944601967232864,0.2381815899346566,False,0.182542574036237
3,0.0002,True,0.2957007308857342,0.0397557355391158,0.591,0,0.2997599618888893,0.459,True,False,gated,6,0.4430806689325809,0.473762720187626,True,0.0203864742203239
3,0.0002,True,0.2974082180044446,0.0398151381799689,0.282,1,0.3000114172292592,0.372,True,False,gated,7,0.4766767731517621,0.4400352919633979,False,0.0271031730750807
2,0.0004,True,0.1405568739425081,0.8685477279297805,0.6989836448331971,0,0.2626372274510546,0.0999999999999999,True,False,gated,8,0.291772625121152,0.7580017202048228,True,0.2258122475896384
3,0.0002,True,0.2904914511462546,0.0395996797529121,0.404,1,0.2986435668581618,0.436,True,False,gated,9,0.9098323379877666,0.4245339384154635,False,0.0027740135402203
2,0.2864,False,0.1383152229581412,0.8970081695013155,0.7759533514403274,0,0.2623851079188868,0.047,False,False,gated,10,0.8837659855141159,0.8304977241614705,True,0.3369821021021723
2,0.6302,False,0.1345350491247968,0.944769854193066,0.2659254327451898,0,0.2616397078712328,0.042,False,False,gated,11,0.5319421213281855,0.1355390023042737,False,0.3165051343177923
2,0.0002,True,0.1334440128637724,0.9884481373078718,0.3588867757335736,0,0.2653464988148445,0.214,True,False,gated,12,0.1382921580757862,0.3232566784329456,False,0.204377371154847
2,0.0002,True,0.2756824029475644,0.0257804450388047,0.875999999938269,0,0.2685751879101833,0.1929999999999999,True,False,gated,13,0.2143757612286341,0.6725315243103813,True,0.1137069078963709
2,0.0002,True,0.2720953679078872,,0.7909999973738331,0,0.2720953679078872,0.2179999999999999,True,False,gated,14,0.4190764057156076,0.6654873363501013,True,0.1752302293907314
3,0.0002,True,0.2892062644305962,0.0407262950142949,0.367,1,0.2973633974606891,0.424,True,False,gated,15,0.7555412171536401,0.4703498769994789,False,0.0170829655854027
