manifold,method,model,x1,x2,gated_side,pi_true_max,n_tests,flag,p_min,abstain
clumpy,raw,gated,0.4062506565012536,0.8381504544710496,False,0.111,3,True,0.0002,False
clumpy,raw,gated,0.5225937322941097,0.4357745949185886,False,0.279,3,True,0.0002,False
clumpy,raw,gated,0.1814679785483786,0.7809807455710205,False,0.018,3,False,0.0198,False
clumpy,raw,gated,0.1958757559907676,0.7983369287866523,False,0.019,3,True,0.0004,False
clumpy,raw,gated,0.4424787500370181,0.4433017634449676,False,0.174,3,True,0.0002,False
clumpy,raw,gated,0.750846697569029,0.8632886089139651,True,0.284,3,True,0.0004,False
clumpy,raw,gated,0.2225182090448544,0.7034568539938935,False,0.031,3,False,0.0188,False
clumpy,raw,gated,0.8118919226680887,0.1913748943022918,True,0.12,3,True,0.0004,False
clumpy,raw,gated,0.1582722065466236,0.8040421323620295,False,0.011,3,False,0.0204,False
clumpy,raw,gated,0.2819596597136286,0.1800877846434291,False,0.052,3,True,0.0002,False
clumpy,raw,gated,0.5839201541472184,0.4364990254282342,True,0.369,3,True,0.0002,False
clumpy,raw,gated,0.202294464761052,0.727391927696119,False,0.022,3,False,0.1244,False
clumpy,raw,gated,0.2471626790911917,0.225207990689534,False,0.036,3,True,0.0002,False
clumpy,raw,gated,0.5725693962642752,0.5512987095654913,True,0.308,3,True,0.0002,False
clumpy,raw,gated,0.4502489075448941,0.8271277197151601,False,0.147,3,True,0.0002,False
clumpy,raw,gated,0.4614555358690679,0.3663074100799665,False,0.212,3,True,0.0002,False
clumpy,raw,gated,0.4819292790521479,0.8550441154819343,False,0.194,3,True,0.0002,False
clumpy,raw,gated,0.6022978737553408,0.4635515569006556,True,0.476,3,True,0.0002,False
clumpy,raw,gated,0.503272836457191,0.8075461192326113,False,0.23,3,True,0.0002,False
clumpy,raw,gated,0.13899966667436,0.0938313563649145,False,0.015,3,False,0.4982,False
clumpy,raw,gated,0.1484811429772063,0.3108369873515432,False,0.024,3,True,0.0002,False
