null,stat,B,q500,q900,q950,q975,q990,q995
pipeline,lrt,20000,0.6572069351675509,3.9997344503902275,5.459277055603161,6.785841029484067,8.62231705169147,9.921383578725981
pipeline,dip,20000,0.008691802118777535,0.011112786743381018,0.01197832361490569,0.012754690748375845,0.013760075135006902,0.014498822162953102
clean_untrimmed,lrt,20000,0.7021858638086087,4.040631562093452,5.543455779322765,7.039329999787721,8.905220181190153,10.23694622131613
clean_untrimmed,dip,20000,0.008664947821875067,0.011061043499010612,0.011932137315589487,0.012795963542476434,0.013831473464812167,0.014502290991122022
