dt_ratio,pi_target,delta,tau,d_true,pi_emp,pi_hat,dhat_gap,w_min,err_oracle,err_soft,err_hard,err_soft_inlier,signed_oracle,signed_soft,anchor
1.0,0.05,0.02,0.02,0.3289707253902946,0.036,0.5050930003684848,0.019985213210354676,0.4948021893024804,0.06433629222161692,41.559242124071524,35.33767963588325,0.3310161891399704,0.06433629222497787,-41.559242124071524,0
1.0,0.05,0.02,0.02,0.3289707253902946,0.047,0.5892132171683986,0.0239425063858757,0.4107658482248913,1.2910945198311836,55.5395618437373,32.874911279963804,89.85011057034828,-1.2910945198312724,-55.53956184373731,1
1.0,0.05,0.02,0.02,0.3289707253902946,0.066,0.4999519569048389,0.022193589078552713,0.49994337852811904,0.9322235560232192,43.22386346250099,11.162397243712197,29.1476919177574,0.9322235560232026,43.22386346250099,2
1.0,0.05,0.02,0.02,0.3289707253902946,0.06,0.47674309191185094,0.011595879597247444,0.4768023099133921,0.5540511421375722,82.27326602885948,11.489928430957706,1.350971498372849,-0.5540511421386674,-82.27326602885948,3
1.0,0.05,0.02,0.02,0.3289707253902946,0.054,0.3727637130681597,0.027227144143780167,0.3728012094246465,2.820517621237692,15.87969014440502,84.01840761660286,37.05052363665544,2.820517621237687,15.879690144405032,4
1.0,0.05,0.02,0.02,0.3289707253902946,0.053,0.5060465961836897,0.012395212573607374,0.4939812842949392,1.7780707761564731,59.332316314329304,18.914759071453492,82.97707721414695,1.778070776156632,-59.33231631432932,5
1.0,0.05,0.02,0.02,0.3289707253902946,0.054,0.4705589348210226,0.024446674814829854,0.4705745923434656,0.4693655671874559,58.230315003566396,82.59755021554075,40.71913281737737,0.4693655671878258,-58.230315003566396,6
1.0,0.05,0.02,0.02,0.3289707253902946,0.067,0.07411620678010428,0.029569714475809153,0.07431258714743644,1.306635524548999,3.2669940542573292,88.6974693799689,1.7984804401550665,1.3066355245491201,-3.266994054257418,7
1.0,0.05,0.02,0.02,0.3289707253902946,0.046,0.5029612827710038,0.02380329058257782,0.49716083404872796,4.947373143238453,23.887768720548785,11.255501726533753,6.419590947567585,-4.947373143238495,-23.8877687205488,8
1.0,0.05,0.02,0.02,0.3289707253902946,0.05,0.8820646778862419,0.022812146790169706,0.11808570212181768,3.593009906632551,37.36100125027754,,33.28705545784084,3.593009906632695,37.361001250277546,9
1.0,0.05,0.02,0.02,0.3289707253902946,0.048,0.5047100772928828,0.02269251954550787,0.4952510347848351,2.8051835150104902,13.184506807205368,52.286606028098575,1.3448166382166866,-2.805183515010432,-13.184506807205354,10
1.0,0.05,0.02,0.02,0.3289707253902946,0.054,0.552020461307955,0.009171639697142533,0.4479764182690597,4.0371419061414695,33.889325130272724,11.08824466980403,0.8459032339465706,4.037141906141609,33.88932513027274,11
1.0,0.05,0.02,0.02,0.3289707253902946,0.052,0.5654542895076314,0.021894630005467562,0.4348824203919812,3.932612367739496,51.70254095214249,85.24933765380706,2.217263488487705,-3.932612367739505,-51.7025409521425,12
1.0,0.05,0.02,0.02,0.3289707253902946,0.038,0.40937650556325733,0.024044328365060957,0.4094565436824246,0.12870709598405564,4.597325038269658,40.98274832026806,7.269651997615051,0.1287070959853987,-4.597325038269756,13
1.0,0.05,0.02,0.02,0.3289707253902946,0.055,0.5943504354408924,0.01912717594897761,0.4057211408445434,2.062464069971645,16.866669857813502,42.13245084734002,51.73909441151751,2.062464069971919,16.866669857813527,14
1.0,0.05,0.02,0.02,0.3289707253902946,0.043,0.5050040265582316,0.018354796711444785,0.49503975041993026,7.521761623045135,3.111185025101437,47.50927342066458,87.51503840509832,-7.521761623045157,-3.11118502510142,15
1.0,0.05,0.02,0.02,0.3289707253902946,0.046,0.49720812789684077,0.017336076816934137,0.49722507284880757,2.41520438394492,36.23396662855087,17.01102657848386,24.50950275515426,2.415204383945018,36.233966628550874,16
1.0,0.05,0.02,0.02,0.3289707253902946,0.06,0.6578696712229545,0.010571010309136509,0.34212035617317804,2.278640188992249,32.870505391596204,59.639472638624454,88.83209117927052,2.278640188992221,32.870505391596204,17
1.0,0.05,0.02,0.02,0.3289707253902946,0.058,0.835377041189175,0.02778593338478541,0.1646492141654583,2.5339818596987618,14.284627899515872,12.220523978412345,25.365353343621624,-2.5339818596989585,-14.284627899515883,18
1.0,0.05,0.02,0.02,0.3289707253902946,0.06,0.5082845213923453,0.009385632601271236,0.4917175409543457,3.5668868107029756,35.6298532291637,33.7664705603025,60.44065867232248,3.566886810703045,35.629853229163714,19
1.0,0.05,0.02,0.02,0.3289707253902946,0.051,0.5820474008610893,0.007321993735821482,0.41800663370833196,3.424519671101925,17.20205966617872,76.03600500171692,82.19388452238393,3.4245196711018604,17.20205966617873,20
