dt,rep,N,mode,n_draw,t_med,bias,sd,ci_width,coverage
1.5,0,25,A,120,4.080830667489229,-0.919169332510771,0.9059603155080572,1.842143971554637,0.375
1.5,0,25,B,120,4.999517214115945,-0.0004827858840545,0.7946722187452213,0.8707689460944108,0.9666666666666668
1.5,0,25,C,120,5.007391323003921,0.0073913230039206,0.1752850520883712,0.9062789334688302,0.9666666666666668
1.5,0,50,A,120,3.890679774264719,-1.1093202257352814,0.3144238945657565,1.3149645237371017,0.0416666666666666
1.5,0,50,B,120,4.9998486001315925,-0.0001513998684075,0.7882516109308165,0.460968772447524,1.0
1.5,0,50,C,120,5.00523887526389,0.0052388752638901,0.6906311718113272,0.5219119069568614,0.9916666666666668
1.5,0,100,A,120,3.855731971219916,-1.1442680287800844,0.1865277970975909,0.95323623653272,0.0
1.5,0,100,B,120,4.983905845219979,-0.0160941547800206,0.036923201897598,0.2564191395015314,1.0
1.5,0,100,C,120,5.004036984044532,0.0040369840445322,0.0334825098581043,0.253840423730955,1.0
1.5,0,200,A,120,3.834246397068634,-1.1657536029313658,0.0467937390631695,0.6382118729425956,0.0
1.5,0,200,B,120,4.988809337916085,-0.0111906620839148,0.0083765997891143,0.1336793190547363,1.0
1.5,0,200,C,120,4.995465834184353,-0.004534165815647,0.009864407238769,0.1369029619829973,1.0
1.5,1,25,A,120,3.9772350708997575,-1.0227649291002423,1.0678398546897687,2.301729638487343,0.3583333333333333
1.5,1,25,B,120,5.024812434980958,0.0248124349809577,0.6806547054933004,0.9143225472376452,0.975
1.5,1,25,C,120,5.010661205462364,0.0106612054623642,1.0382300144626508,1.682084959265747,0.9916666666666668
1.5,1,50,A,120,3.891479926860909,-1.1085200731390916,0.6519546193323584,1.4938494661789616,0.0666666666666666
1.5,1,50,B,120,5.03739263290986,0.0373926329098601,0.0956989426294562,0.4859959557877542,1.0
1.5,1,50,C,120,5.025164790967283,0.0251647909672829,0.7454338540610539,0.5633358825698629,0.9833333333333332
1.5,1,100,A,120,3.862566696677079,-1.1374333033229211,0.1607778357470635,0.9127717360753056,0.0
1.5,1,100,B,120,5.044182854855885,0.0441828548558849,0.0423257288084287,0.2971837564680011,0.9833333333333332
1.5,1,100,C,120,5.03548861805768,0.0354886180576796,0.0439219969044693,0.2760777461692605,0.9916666666666668
1.5,1,200,A,120,3.8674661044581264,-1.1325338955418736,0.0496598549594641,0.6264911638953934,0.0
1.5,1,200,B,120,5.051587070118954,0.0515870701189538,0.011102219281281,0.164156829827947,0.9916666666666668
1.5,1,200,C,120,5.042712045531228,0.0427120455312284,0.0103343247402019,0.1593920490362164,0.9916666666666668
1.5,2,25,A,120,4.281121826710413,-0.7188781732895873,0.9283663673477548,1.1332522317583589,0.2083333333333333
1.5,2,25,B,120,4.986035018591371,-0.0139649814086286,0.7720353155908821,0.4498082281093261,0.95
1.5,2,25,C,120,5.021643787696,0.021643787696,0.6409328949770138,0.4055696602797356,0.95
1.5,2,50,A,120,4.11589090989726,-0.88410909010274,0.2780323973025794,0.8696497408697399,0.0333333333333333
1.5,2,50,B,120,4.990680246037208,-0.0093197539627922,0.06628992597109,0.2864395660084171,0.9916666666666668
1.5,2,50,C,120,5.031213098755477,0.0312130987554768,0.0733984072826702,0.2979923931250048,0.9666666666666668
1.5,2,100,A,120,4.082731016623022,-0.917268983376978,0.1720263316022648,0.8263762642601922,0.0
1.5,2,100,B,120,4.975438897216458,-0.0245611027835419,0.0280774916555427,0.1970649209182182,0.9916666666666668
1.5,2,100,C,120,5.015905743760342,0.0159057437603422,0.0263467606921426,0.1786502866007957,0.9666666666666668
1.5,2,200,A,120,4.053578237165132,-0.946421762834868,0.0510582319141557,0.6342031717819308,0.0
1.5,2,200,B,120,4.982952145227799,-0.0170478547722012,0.0080666412529498,0.1216794079720418,1.0
1.5,2,200,C,120,5.012554688139428,0.0125546881394278,0.0087044162786426,0.1080855711546417,1.0
1.5,3,25,A,120,3.8498295009796655,-1.1501704990203343,1.3008238921321162,3.226976954984874,0.1083333333333333
1.5,3,25,B,120,5.0071882028358,0.0071882028357999,1.444260197578483,3.1721475135139867,0.9666666666666668
1.5,3,25,C,120,5.000468128968559,0.000468128968559,1.4141426410860272,3.304248136471684,0.9833333333333332
1.5,3,50,A,120,3.8001081149048463,-1.1998918850951537,0.8013086978559908,1.4533870535811595,0.0083333333333333
1.5,3,50,B,120,5.010190067428784,0.010190067428784,0.3257324416796744,0.6542095136203496,1.0
1.5,3,50,C,120,4.999849090774931,-0.0001509092250691,0.7955741943721584,0.6817289012417476,0.9916666666666668
1.5,3,100,A,120,3.762990168954632,-1.237009831045368,0.2009378377840756,1.0227310078380267,0.0
1.5,3,100,B,120,5.023886402671018,0.0238864026710183,0.0410131776215837,0.2696048767711088,1.0
1.5,3,100,C,120,5.011851717517937,0.0118517175179366,0.0327725325900521,0.2406784839192521,1.0
1.5,3,200,A,120,3.754591751881154,-1.2454082481188458,0.0636175979916354,0.7453951043709759,0.0
1.5,3,200,B,120,5.021118352043649,0.0211183520436488,0.0125999863283649,0.1481310340428585,1.0
1.5,3,200,C,120,5.008901730396,0.0089017303960003,0.0060716383613187,0.1120835800469484,1.0
1.5,4,25,A,120,3.961152770704,-1.0388472292959996,1.0197708459387491,1.766723056983922,0.1083333333333333
1.5,4,25,B,120,4.96699184482606,-0.03300815517394,0.9090550672686888,3.007158763723103,0.95
1.5,4,25,C,120,4.950683074429348,-0.0493169255706522,1.370264527276303,2.787943597091328,0.9583333333333334
1.5,4,50,A,120,3.77614449343437,-1.2238555065656298,0.6413574180510635,1.319452621999049,0.0166666666666666
1.5,4,50,B,120,4.98144165675443,-0.0185583432455702,0.0660043744979177,0.405094438702799,0.975
1.5,4,50,C,120,4.984534683541394,-0.0154653164586058,0.0703803206507872,0.4168129483292881,0.9583333333333334
1.5,4,100,A,120,3.79053890441666,-1.2094610955833405,0.2398093974228738,0.9807046771776876,0.0
1.5,4,100,B,120,4.972559767440127,-0.027440232559873,0.0358045983890318,0.200313620001276,0.9666666666666668
1.5,4,100,C,120,4.980863580940756,-0.0191364190592437,0.0334195485221718,0.1985034506013123,0.9833333333333332
1.5,4,200,A,120,3.767578133792426,-1.232421866207574,0.0576192653346973,0.809448404576111,0.0
1.5,4,200,B,120,4.975048245188852,-0.0249517548111484,0.0092909518967772,0.1210311617975961,1.0
1.5,4,200,C,120,4.980030931941197,-0.0199690680588027,0.0088922157516657,0.1176121765083317,1.0
2.5,0,25,A,120,4.895003399917054,-0.1049966000829458,0.0740300843034127,0.2907636369138275,0.7416666666666667
2.5,0,25,B,120,5.011011015497159,0.0110110154971589,0.0568988672033768,0.2245251927876297,0.9416666666666668
2.5,0,25,C,120,5.002063827690646,0.0020638276906463,0.0264990648601021,0.1183183480064546,0.9833333333333332
2.5,0,50,A,120,4.890189951253387,-0.1098100487466133,0.0499462695728198,0.2157858271263517,0.4666666666666667
2.5,0,50,B,120,5.006765054361281,0.0067650543612813,0.038500792552721,0.1601826597887581,0.95
2.5,0,50,C,120,5.012755211499801,0.012755211499801,0.0180989467229726,0.079450825135158,0.9666666666666668
2.5,0,100,A,120,4.886803161019044,-0.1131968389809561,0.0314754068094731,0.1582567234118355,0.1166666666666666
2.5,0,100,B,120,5.010781171713339,0.0107811717133392,0.0216711807100795,0.1124602701623675,0.9916666666666668
2.5,0,100,C,120,5.0064010065486375,0.0064010065486375,0.0098022553866648,0.0596440248609635,0.9916666666666668
2.5,0,200,A,120,4.88508033139413,-0.1149196686058697,0.0087748663839732,0.1131592721611873,0.0
2.5,0,200,B,120,5.012452153289573,0.0124521532895727,0.0063205956830371,0.0797493716620381,1.0
2.5,0,200,C,120,5.0053213397109175,0.0053213397109175,0.0029794961703293,0.0401485286238973,1.0
2.5,1,25,A,120,4.8759648173020445,-0.1240351826979555,0.0771444280328284,0.2753895471099343,0.6333333333333333
2.5,1,25,B,120,4.996583965308507,-0.0034160346914928,0.0575317806062007,0.2233904963211714,0.9416666666666668
2.5,1,25,C,120,4.985308416017544,-0.0146915839824561,0.0248042487598992,0.1098539936933202,0.9166666666666666
2.5,1,50,A,120,4.855183230520215,-0.1448167694797852,0.0510867406270617,0.2096320594581278,0.2166666666666666
2.5,1,50,B,120,4.993473652862505,-0.0065263471374947,0.0384570200829687,0.1643083078118001,0.9583333333333334
2.5,1,50,C,120,4.9877120482648944,-0.0122879517351055,0.01489659164278,0.064540418070937,0.8833333333333333
2.5,1,100,A,120,4.860097666207309,-0.1399023337926905,0.0297851085905426,0.1529737805559907,0.0166666666666666
2.5,1,100,B,120,4.994847276921277,-0.0051527230787229,0.0245528198848451,0.1191211019941675,0.9833333333333332
2.5,1,100,C,120,4.985667826929307,-0.0143321730706933,0.0091562601902144,0.047507561475153,0.8083333333333333
2.5,1,200,A,120,4.86254257545118,-0.1374574245488196,0.0087337516388826,0.1093906895496314,0.0
2.5,1,200,B,120,4.995205305605692,-0.0047946943943077,0.0054745256416059,0.0833821210638725,1.0
2.5,1,200,C,120,4.987183196218336,-0.0128168037816642,0.0024749191013187,0.0315552513845318,0.85
2.5,2,25,A,120,4.841657040439898,-0.1583429595601018,0.0938406804562381,0.3344090664732251,0.6
2.5,2,25,B,120,4.9790483926824765,-0.0209516073175235,0.0632078018209712,0.2382408040016246,0.9416666666666668
2.5,2,25,C,120,4.993862722532256,-0.0061372774677437,0.0283490515584742,0.1224383218873352,0.9333333333333332
2.5,2,50,A,120,4.833058667402136,-0.1669413325978643,0.0612281753850298,0.2595553616568504,0.275
2.5,2,50,B,120,4.9718461340495566,-0.0281538659504434,0.0385568773883061,0.1701364340492479,0.95
2.5,2,50,C,120,5.001457014207946,0.0014570142079461,0.0173182064642255,0.0810128695851792,0.9833333333333332
2.5,2,100,A,120,4.834598730221431,-0.1654012697785694,0.0392768027600146,0.1883265635970161,0.0583333333333333
2.5,2,100,B,120,4.981661312480916,-0.0183386875190842,0.0226963637557478,0.1199291417379995,0.9666666666666668
2.5,2,100,C,120,4.998408038531867,-0.001591961468133,0.0103444656703373,0.0554532641669527,0.9833333333333332
2.5,2,200,A,120,4.836519097938842,-0.163480902061158,0.0118394600664921,0.134145322165863,0.0
2.5,2,200,B,120,4.979370648600025,-0.0206293513999753,0.0066016625896609,0.0848724685591997,0.9916666666666668
2.5,2,200,C,120,4.998666133079865,-0.0013338669201345,0.0029220259266379,0.0374792048845873,1.0
2.5,3,25,A,120,4.887306967590003,-0.1126930324099966,0.0619269122170086,0.2514452071442439,0.6416666666666667
2.5,3,25,B,120,4.986382307196583,-0.0136176928034172,0.0542810572939072,0.223173045117742,0.95
2.5,3,25,C,120,5.002582266036816,0.0025822660368159,0.0252725256777243,0.1012865834517087,0.9333333333333332
2.5,3,50,A,120,4.901116282366949,-0.0988837176330506,0.0458184447044066,0.1852829091796577,0.475
2.5,3,50,B,120,4.989079928981598,-0.0109200710184023,0.039018704614063,0.1599811310820742,0.9333333333333332
2.5,3,50,C,120,5.006998352666935,0.006998352666935,0.013997399501316,0.0702275368190736,0.95
2.5,3,100,A,120,4.897066894404951,-0.1029331055950493,0.0259318620231465,0.1328081085335544,0.1083333333333333
2.5,3,100,B,120,4.991587342257985,-0.0084126577420153,0.0249235286329807,0.1137577540725529,0.9666666666666668
2.5,3,100,C,120,5.007240272072619,0.007240272072619,0.0091573281459759,0.0483913630601349,0.9583333333333334
2.5,3,200,A,120,4.897011121240944,-0.1029888787590564,0.0073770200762752,0.0972175597469768,0.0
2.5,3,200,B,120,4.987936020502989,-0.0120639794970109,0.006242286816938,0.0804343545612402,1.0
2.5,3,200,C,120,5.006053568706547,0.0060535687065472,0.0024978297928734,0.0342179174595931,1.0
2.5,4,25,A,120,4.8477753615625145,-0.1522246384374854,0.0912799224167929,0.320101064772579,0.5333333333333333
2.5,4,25,B,120,4.980349881644299,-0.0196501183557007,0.0559934531584216,0.2232136265958209,0.9666666666666668
2.5,4,25,C,120,5.002040197513408,0.0020401975134083,0.0242860553703628,0.1029639010423797,0.9583333333333334
2.5,4,50,A,120,4.8603912542515335,-0.1396087457484665,0.0636632492670813,0.2448822397829935,0.3
2.5,4,50,B,120,4.98808222126002,-0.0119177787399804,0.0391302862909503,0.1560269075249092,0.9416666666666668
2.5,4,50,C,120,4.9971642563005805,-0.0028357436994195,0.0129182776732893,0.0646630712383125,0.975
2.5,4,100,A,120,4.847798974648537,-0.1522010253514629,0.04028690773201,0.1869567624219286,0.025
2.5,4,100,B,120,4.9918339416875455,-0.0081660583124545,0.0231070975407266,0.1129214661963322,0.9833333333333332
2.5,4,100,C,120,4.997690236788762,-0.0023097632112376,0.0069254260479048,0.0425249842369535,0.9833333333333332
2.5,4,200,A,120,4.842886002012067,-0.157113997987933,0.0104197312531697,0.1338339922096301,0.0
2.5,4,200,B,120,4.991988130059754,-0.0080118699402458,0.0065335556208825,0.0806994566358989,1.0
2.5,4,200,C,120,4.997597541040399,-0.002402458959601,0.0021880605691919,0.0284942687219968,1.0
5.0,0,25,A,120,5.004998040711181,0.0049980407111807,0.0302022127027603,0.1135843218598355,0.95
5.0,0,25,B,120,5.017373643815788,0.0173736438157883,0.026430081113166,0.1052418535528958,0.9
5.0,0,25,C,120,5.00108597125913,0.0010859712591297,0.0040174038124449,0.018031803460965,0.9333333333333332
5.0,0,50,A,120,5.007342503811653,0.0073425038116532,0.0193414133253761,0.0803692265941258,0.9416666666666668
5.0,0,50,B,120,5.015108185709739,0.0151081857097388,0.0182109792850069,0.074302181321066,0.9
5.0,0,50,C,120,5.000591888589002,0.0005918885890023,0.0026272606041524,0.0114805631741221,0.95
5.0,0,100,A,120,5.003839733198729,0.0038397331987294,0.0116442423015895,0.0578501282410304,0.9833333333333332
5.0,0,100,B,120,5.014107251475148,0.0141072514751474,0.0107577804170724,0.0535392457443286,0.8416666666666667
5.0,0,100,C,120,5.000367078232725,0.0003670782327249,0.0014049154775901,0.0075369472188597,0.9833333333333332
5.0,0,200,A,120,5.006910240529743,0.0069102405297432,0.0032615625054869,0.0410754255456127,1.0
5.0,0,200,B,120,5.0141153122369175,0.0141153122369175,0.0032499127884725,0.03744602961318,0.8583333333333333
5.0,0,200,C,120,5.000529637436125,0.0005296374361254,0.0004305518509335,0.0051641842505953,1.0
5.0,1,25,A,120,4.976542308383428,-0.0234576916165725,0.0271366254296901,0.111648461879148,0.8833333333333333
5.0,1,25,B,120,4.997865944084118,-0.0021340559158815,0.0248102374963587,0.105865939149516,0.9416666666666668
5.0,1,25,C,120,4.99929514976581,-0.0007048502341904,0.0037885062358089,0.0185452879793497,0.9916666666666668
5.0,1,50,A,120,4.98000384957726,-0.0199961504227399,0.0201603425136323,0.0813142903754626,0.825
5.0,1,50,B,120,4.990165798273129,-0.0098342017268713,0.0152745220414772,0.0757215132291655,0.975
5.0,1,50,C,120,4.999717463828546,-0.0002825361714542,0.0024481121118519,0.0113268484667763,0.9583333333333334
5.0,1,100,A,120,4.980565615637467,-0.0194343843625333,0.0105430771245492,0.0588011491573574,0.8333333333333334
5.0,1,100,B,120,4.993045431194287,-0.0069545688057131,0.0093528894391669,0.0534906581788825,0.9833333333333332
5.0,1,100,C,120,5.000132287837973,0.0001322878379728,0.0012383470509365,0.0073454846217906,0.9916666666666668
5.0,1,200,A,120,4.980095654644435,-0.0199043453555649,0.0030872568873939,0.0425371869796378,0.7
5.0,1,200,B,120,4.992918271227383,-0.0070817287726168,0.0028032314585375,0.037946864674653,1.0
5.0,1,200,C,120,5.000079984971157,7.998497115657699e-05,0.0003927845532454,0.0049602416515162,1.0
5.0,2,25,A,120,4.984688655421646,-0.0153113445783539,0.0312483160640842,0.1152678098202519,0.9166666666666666
5.0,2,25,B,120,5.000772445080515,0.0007724450805151,0.0274015180431788,0.1076937631404542,0.925
5.0,2,25,C,120,5.000771246995721,0.000771246995721,0.0046253915640782,0.0209614452893807,0.9666666666666668
5.0,2,50,A,120,4.9839551054303,-0.0160448945697,0.0188263144843806,0.0856474766035697,0.9416666666666668
5.0,2,50,B,120,4.998915044128096,-0.0010849558719039,0.0188623808570046,0.0759753512955314,0.9416666666666668
5.0,2,50,C,120,5.000772068837067,0.0007720688370671,0.0023310194911479,0.0127246613023159,0.9916666666666668
5.0,2,100,A,120,4.982440961580844,-0.0175590384191561,0.0120460519107631,0.0603150761940547,0.8916666666666667
5.0,2,100,B,120,4.998159835656743,-0.0018401643432568,0.010074791068724,0.0548502560835109,0.9916666666666668
5.0,2,100,C,120,5.000516661696844,0.0005166616968441,0.0014889749342155,0.0080080308534684,0.9916666666666668
5.0,2,200,A,120,4.984940236691649,-0.0150597633083506,0.0035064229289425,0.0431206826042513,0.9583333333333334
5.0,2,200,B,120,4.9992968784025,-0.0007031215974997,0.0030437136021006,0.038800291931357,1.0
5.0,2,200,C,120,5.000622366982542,0.000622366982542,0.0003960184711015,0.0053801930449357,1.0
5.0,3,25,A,120,4.99787697529363,-0.0021230247063703,0.0266222567409239,0.1119751620463445,0.975
5.0,3,25,B,120,5.002694082161511,0.0026940821615104,0.0240263070990843,0.1052793658663744,0.95
5.0,3,25,C,120,4.998414670820621,-0.0015853291793792,0.0039048498051716,0.0177484068244559,0.95
5.0,3,50,A,120,5.002161248119755,0.002161248119755,0.0203211937420261,0.0807356048837468,0.9666666666666668
5.0,3,50,B,120,5.005179925675344,0.0051799256753435,0.0162783857661246,0.0743928050927023,0.9583333333333334
5.0,3,50,C,120,4.9983155034962135,-0.0016844965037865,0.0023285477074357,0.0107260312568975,0.9
5.0,3,100,A,120,4.998535683229763,-0.001464316770237,0.0112911513846809,0.0578546415287988,0.9833333333333332
5.0,3,100,B,120,5.007340590640657,0.0073405906406573,0.0109507149769973,0.0529250990217091,0.9333333333333332
5.0,3,100,C,120,4.998349566722661,-0.001650433277339,0.0012990520279949,0.0070165838643969,0.9083333333333332
5.0,3,200,A,120,4.997752434901392,-0.0022475650986084,0.0030814370021269,0.0408887232576242,1.0
5.0,3,200,B,120,5.008307212726498,0.008307212726498,0.0027269199144557,0.037917335008494,1.0
5.0,3,200,C,120,4.998501810116113,-0.001498189883887,0.0003740640850669,0.0046490626861062,0.975
5.0,4,25,A,120,4.995392080305674,-0.004607919694326,0.0314323011487845,0.1129922293418901,0.9083333333333332
5.0,4,25,B,120,5.007754688737448,0.0077546887374477,0.0262930883305515,0.1063417031720743,0.95
5.0,4,25,C,120,4.999504589902775,-0.0004954100972254,0.0035050190519606,0.0179410337425052,0.9666666666666668
5.0,4,50,A,120,4.994131054877382,-0.0058689451226179,0.0165342741463392,0.0809763544485218,0.9833333333333332
5.0,4,50,B,120,5.0080616158004245,0.0080616158004245,0.0164190883303742,0.0749650338667313,0.9833333333333332
5.0,4,50,C,120,4.999019241286499,-0.0009807587135011,0.0025210856119262,0.0112415024975662,0.975
5.0,4,100,A,120,4.99616057571972,-0.0038394242802803,0.0122740022001669,0.0579018653916696,0.975
5.0,4,100,B,120,5.006769722343142,0.0067697223431419,0.0098966500785221,0.0534527554939407,1.0
5.0,4,100,C,120,4.998957286552271,-0.0010427134477293,0.0013711066004019,0.0074874451710345,0.9833333333333332
5.0,4,200,A,120,4.995049052303998,-0.0049509476960016,0.0035014861679396,0.0417483982063311,1.0
5.0,4,200,B,120,5.005468760454535,0.0054687604545344,0.0031283704084559,0.0375959157727665,1.0
5.0,4,200,C,120,4.999048832251058,-0.0009511677489424,0.0003773270527805,0.0049596745107827,1.0
